frame,object_id,class,x,y,width,height,center_x,center_y,area
547,1463,person,1217.83,266.1,124.33,313.59,1217.83,266.1,38989.37
548,1387,person,1038.04,379.85,121.61,250.28,1038.04,379.85,30434.97
549,1387,person,1038.62,378.68,124.19,251.93,1038.62,378.68,31286.75
550,1387,person,1037.27,375.74,124.15,248.79,1037.27,375.74,30886.38
551,1387,person,1035.37,375.74,125.91,249.93,1035.37,375.74,31469.81
552,1387,person,1031.39,376.72,127.19,251.82,1031.39,376.72,32028.32
553,1387,person,1029.48,377.5,127.81,252.17,1029.48,377.5,32230.5
554,1387,person,1029.34,378.4,128.15,252.41,1029.34,378.4,32345.69
555,1387,person,1028.98,378.84,128.16,251.94,1028.98,378.84,32288.21
555,1463,person,1218.1,265.45,123.79,312.14,1218.1,265.45,38640.34
556,1387,person,1028.38,382.88,127.79,250.86,1028.38,382.88,32056.32
557,1387,person,1029.84,386.13,126.86,248.99,1029.84,386.13,31586.27
557,1469,carton,942.78,555.19,134.91,105.0,942.78,555.19,14165.73
558,1387,person,1033.99,386.9,126.54,249.63,1033.99,386.9,31587.58
558,1469,carton,942.75,555.86,134.9,104.97,942.75,555.86,14160.29
558,1463,person,1219.84,261.91,120.33,317.93,1219.84,261.91,38255.62
559,1387,person,1037.09,386.7,125.85,249.66,1037.09,386.7,31419.08
559,1469,carton,943.69,556.42,136.21,106.0,943.69,556.42,14438.48
560,1387,person,1038.14,387.23,122.98,245.23,1038.14,387.23,30157.95
560,1469,carton,944.07,556.47,136.41,106.17,944.07,556.47,14482.2
561,1387,person,1038.21,388.37,121.97,245.47,1038.21,388.37,29941.55
561,1469,carton,943.86,557.31,136.71,106.41,943.86,557.31,14547.77
561,1471,person,1069.58,365.57,46.55,140.59,1069.58,365.57,6543.97
561,1463,person,1219.73,270.45,120.53,320.39,1219.73,270.45,38617.02
562,1387,person,1038.2,387.76,120.56,244.72,1038.2,387.76,29503.92
562,1471,person,1069.76,362.51,47.79,144.71,1069.76,362.51,6916.19
562,1463,person,1218.93,268.0,122.14,327.34,1218.93,268.0,39982.45
563,1387,person,1036.97,387.06,119.23,244.02,1036.97,387.06,29095.69
563,1463,person,1219.32,266.92,121.36,326.22,1219.32,266.92,39589.42
564,1387,person,1036.46,385.77,118.17,243.68,1036.46,385.77,28794.57
565,1387,person,1037.63,380.58,116.42,240.95,1037.63,380.58,28050.98
566,1387,person,1039.44,376.69,115.77,240.35,1039.44,376.69,27824.42
567,1387,person,1040.36,374.95,116.09,241.7,1040.36,374.95,28060.1
568,1387,person,1040.79,375.78,116.22,242.42,1040.79,375.78,28173.37
569,1387,person,1040.76,379.57,116.93,244.7,1040.76,379.57,28611.22
569,1463,person,1223.09,259.07,113.81,298.33,1223.09,259.07,33953.25
570,1387,person,1042.24,386.65,115.42,241.56,1042.24,386.65,27880.95
570,1463,person,1221.77,263.63,116.46,314.4,1221.77,263.63,36614.45
571,1387,person,1044.42,387.5,116.92,244.91,1044.42,387.5,28634.35
571,1463,person,1222.04,270.8,115.92,315.8,1222.04,270.8,36607.57
572,1387,person,1042.59,389.4,120.89,251.72,1042.59,389.4,30429.34
572,1463,person,1221.41,275.61,117.18,318.29,1221.41,275.61,37297.35
573,1387,person,1042.1,395.79,127.1,264.28,1042.1,395.79,33589.41
574,1387,person,1038.91,401.53,133.0,273.87,1038.91,401.53,36425.74
575,1387,person,1040.55,410.1,142.15,291.58,1040.55,410.1,41446.95
576,1387,person,1048.17,410.82,141.73,292.32,1048.17,410.82,41430.03
576,1463,person,1223.23,273.13,113.53,326.91,1223.23,273.13,37114.78
577,1387,person,1055.5,407.54,137.95,286.34,1055.5,407.54,39499.85
578,1387,person,1059.48,406.67,138.16,288.74,1059.48,406.67,39892.52
579,1387,person,1065.76,397.9,131.48,275.3,1065.76,397.9,36196.34
580,1387,person,1069.3,391.19,127.65,267.89,1069.3,391.19,34195.78
581,1387,person,1071.21,390.29,125.8,265.06,1071.21,390.29,33344.56
582,1387,person,1071.86,387.75,124.75,264.47,1071.86,387.75,32992.42
583,1387,person,1071.3,387.34,124.66,265.91,1071.3,387.34,33149.44
584,1387,person,1068.38,387.81,121.81,260.16,1068.38,387.81,31690.81
